step,loss
1,0.4654382791258246
20000,0.0001282994868348005
40000,0.00011934682928813144
60000,0.00011363728146319266
80000,0.00011003645938744292
100000,0.00011096483887814226
120000,0.00010454450161910625
140000,0.00010177631943860814
160000,9.862810325459214e-05
180000,9.534107571744499e-05
200000,9.352178466213608e-05
220000,9.200499747778224e-05
240000,9.039172786624469e-05
260000,8.883730193232862e-05
280000,8.720541145723656e-05
300000,8.536694055122657e-05
320000,8.363855846837924e-05
340000,8.633234027957462e-05
360000,7.990478602515317e-05
380000,7.791371815276508e-05
400000,7.614442280841379e-05
