step,loss
1,0.45587727040055886
20000,0.00035156114155638425
40000,9.98982593934328e-05
60000,9.800509968002624e-05
80000,9.555846212775826e-05
100000,9.305383000064037e-05
120000,9.022972374887987e-05
140000,8.701372787784577e-05
160000,8.330775843476732e-05
180000,8.622788917125525e-05
200000,7.410562113306472e-05
220000,6.861055846583405e-05
240000,6.267425558120625e-05
260000,5.662396040279506e-05
280000,5.083148701817876e-05
300000,4.5731334083709786e-05
320000,4.0996071466479455e-05
340000,3.909329602860339e-05
360000,3.464635878001216e-05
380000,3.228129796797966e-05
400000,3.034627096612905e-05
