step,loss
1,0.4658746366121568
20000,0.00041284228000265
40000,0.0003950649885293358
60000,0.0003864987802624867
80000,0.0003743738308747899
100000,0.0003565050399497899
120000,0.0003338850941204368
140000,0.0003106608382527718
160000,0.0002894569988698735
180000,0.0002714769272657403
200000,0.0002563444058128443
220000,0.0006294366989101286
240000,0.00023303983538338984
260000,0.00022382142947211921
280000,0.00021761430935706352
300000,0.00020918189984410015
320000,0.00020358951217222364
340000,0.0011466267186637726
360000,0.00019655474198244197
380000,0.0001945234931385172
400000,0.0001943040935897399
