seed,epoch,loss
1,1,0.23181863750495843
1,6000,0.00033761137872863393
1,12000,0.0002525050296396248
1,18000,0.0002374053069850219
1,24000,0.00023147870151791323
1,30000,0.0002161168526731608
1,36000,4.448742850454116e-05
1,42000,4.010789690462967e-05
1,48000,3.860561984173209e-05
1,54000,5.6789701737903816e-05
1,60000,3.6638061024424186e-05
1,66000,3.600426797725286e-05
1,72000,4.064024114715305e-05
1,78000,3.523299856396007e-05
1,84000,3.527098516501621e-05
1,90000,3.5551140516535276e-05
1,96000,3.3837645013783034e-05
1,102000,3.335001853852442e-05
1,108000,3.241602331440287e-05
1,114000,3.1787501374518467e-05
1,120000,3.139326392316366e-05
2,1,0.27156116697608385
2,6000,0.0003301288872269592
2,12000,0.0002569555108293678
2,18000,0.0002440154462678012
2,24000,0.000233361077564648
2,30000,0.0002289725972360575
2,36000,0.0002257898181674936
2,42000,0.00019966482624180732
2,48000,0.00010535797151090891
2,54000,8.994245913907762e-05
2,60000,6.0597601645250245e-05
2,66000,3.811968252947081e-05
2,72000,3.8068069035939544e-05
2,78000,4.387744067540313e-05
2,84000,4.822745771504388e-05
2,90000,3.540471185428337e-05
2,96000,3.734510844567736e-05
2,102000,4.1846076456317736e-05
2,108000,3.431146700135918e-05
2,114000,3.84994589395888e-05
2,120000,3.377837146462024e-05
3,1,0.26895236553670293
3,6000,0.000336461953934677
3,12000,0.000252424089486695
3,18000,0.00023986659687604708
3,24000,0.0002324059507423545
3,30000,0.00022151842156047273
3,36000,9.432290467830367e-05
3,42000,8.725861374767728e-05
3,48000,4.285473190175256e-05
3,54000,4.27722285020082e-05
3,60000,5.178104939658156e-05
3,66000,3.952598506153161e-05
3,72000,3.455106119219128e-05
3,78000,3.366288631330759e-05
3,84000,3.33316544450781e-05
3,90000,3.307063482952313e-05
3,96000,3.2597015005127084e-05
3,102000,3.295167372549874e-05
3,108000,3.445070044005556e-05
3,114000,3.4624555398133563e-05
3,120000,3.227491278456263e-05
4,1,0.22453893982295126
4,6000,0.00033783467965318493
4,12000,0.00024195008629716605
4,18000,0.00023322913658056635
4,24000,0.00022668082739580318
4,30000,0.0001309154860377543
4,36000,6.928640835523747e-05
4,42000,4.742015581723599e-05
4,48000,4.7193900134341284e-05
4,54000,3.903133668006411e-05
4,60000,3.826805399105216e-05
4,66000,3.591973847322175e-05
4,72000,3.553987844066822e-05
4,78000,3.4025692851650266e-05
4,84000,3.420372152458858e-05
4,90000,3.878588634211437e-05
4,96000,3.293012052317423e-05
4,102000,3.3474862263587745e-05
4,108000,3.219465689769982e-05
4,114000,3.4363273903946375e-05
4,120000,3.146845061302666e-05
5,1,0.3193418905025841
5,6000,0.00035445427336465945
5,12000,0.00029785727609301803
5,18000,0.0002441859455874832
5,24000,0.0002368148604702774
5,30000,0.00023148533512936192
5,36000,0.0002277643429409029
5,42000,0.0002238092403831051
5,48000,0.00016710217363091653
5,54000,0.00011461325471208038
5,60000,7.934067538506548e-05
5,66000,4.294210378801411e-05
5,72000,4.6006169937140355e-05
5,78000,3.527834727678013e-05
5,84000,3.522175203957635e-05
5,90000,3.55771300228965e-05
5,96000,3.3355303212402494e-05
5,102000,3.88748458265273e-05
5,108000,3.189423491055485e-05
5,114000,3.2808116918239896e-05
5,120000,3.4079181638407274e-05
6,1,0.3894023122826376
6,6000,0.0003324845794598421
6,12000,0.0002449234482825791
