molecule,mean_curve_mape_percent,mean_curve_max_percent_difference,mean_curve_energy_at_max_error_eV,across_seed_mean_of_max_percent_difference,across_seed_std_of_max_percent_difference,article_table2_max_percent,delta_vs_article_pp,close_to_article
Ethanal,9.621979774302613,12.076435883320839,95.5,12.103182124643563,0.5829465764565721,14.0,-1.9235641166791613,True
Propanal,3.9958847044649657,7.485759093868133,85.0,7.485759093868131,0.3728449248754508,8.0,-0.5142409061318673,True
3-Methylbutan-2-one,8.516064235056039,12.916459269199038,25.0,12.916459269199041,0.1777621867754521,12.0,0.9164592691990379,True
Molecular Nitrogen,1124.6234445628295,2201.354010764466,25.0,2201.3540107644662,217.8422355254581,1940.0,261.3540107644658,False
Ethanol,11.042522574922248,22.692408530999185,100.0,22.692408530999177,0.5713600424312492,23.0,-0.30759146900081547,True
