step,loss
1,0.49117946460142137
20000,0.0003666454743020188
40000,0.0003647943286419057
60000,0.0003630942696430455
80000,0.000361486913641228
100000,0.000360155696004769
120000,0.0004513963245124379
140000,0.0003581221981906379
160000,0.00035741476720081185
180000,0.0003606954497633363
200000,0.0003565180463583981
220000,0.00035974691750688637
240000,0.00035578748043401347
260000,0.0003561156575057138
280000,0.0003548918483481658
300000,0.00035433768354965707
320000,0.00035371748007609604
340000,0.0003530023458989877
360000,0.00035263257396931605
380000,0.00035156978423609136
400000,0.00035095349548068083
