step,loss
1,0.5398425216267517
20000,0.00013138511786739085
40000,0.00012554394398329573
60000,0.00011999050511878703
80000,0.00011389531725075509
100000,0.00010799947968523467
120000,0.00010319095085304546
140000,9.967144468552654e-05
160000,9.836739201987693e-05
180000,9.793030601484242e-05
200000,9.777925427876754e-05
220000,9.772474757266531e-05
240000,9.770039826591915e-05
260000,9.769091744897846e-05
280000,9.790539884290192e-05
300000,9.767545598084166e-05
320000,9.80459135583688e-05
340000,9.766014614762881e-05
360000,9.765800056710243e-05
380000,9.764663166611405e-05
400000,9.763937718320285e-05
