step,loss
1,0.5128918657609863
20000,0.00019427785748076288
40000,0.00017931481158687894
60000,0.00017575995958415852
80000,0.00017213896555812042
100000,0.00016662819170579904
120000,0.00016255125896378375
140000,0.00015884501068361837
160000,0.00015509803605004554
180000,0.00015121626278583682
200000,0.00014714927801505828
220000,0.00019259644944420831
240000,0.00013932284130063156
260000,0.00013479813512373609
280000,0.0001296964170083731
300000,0.00012827569933969858
320000,0.00012180680497999372
340000,0.00011816322352426418
360000,0.00011504141696956873
380000,0.0001122773846321408
400000,0.00010984052623460567
