step,loss
1,0.6613456614679086
20000,0.0005365943161186262
40000,0.0005223108402166712
60000,0.0005136260852715511
80000,0.0005075607206686241
100000,0.0005019110959367417
120000,0.0004955626651678777
140000,0.00048809698091906845
160000,0.0004792024235742224
180000,0.00046869490637428186
200000,0.0004568360640916891
220000,0.00044808025186559897
240000,0.00043313358644108725
260000,0.0004236908622972918
280000,0.0004166127385552921
300000,0.0004117531035231205
320000,0.0004086165042491484
340000,0.00040669963572885986
360000,0.0004055325430431031
380000,0.0004048465518474518
400000,0.0004048352765393057
