seed,epoch,loss
1,1,0.21158771847016805
1,6000,0.0003466299452980986
1,12000,0.0003301997034738253
1,18000,0.00026805070013749706
1,24000,0.0002171902845187676
1,30000,0.00013484705172713124
1,36000,9.50945723119735e-05
1,42000,5.177559346050003e-05
1,48000,4.2261767006272996e-05
1,54000,5.515814373089246e-05
1,60000,3.969418811430623e-05
1,66000,4.367334471998586e-05
1,72000,3.585423811691447e-05
1,78000,3.5570934157243266e-05
1,84000,3.4527098612765804e-05
1,90000,3.2169609448055746e-05
1,96000,3.1498135110850583e-05
1,102000,3.35088833706911e-05
1,108000,3.856245434804468e-05
1,114000,3.102116193576955e-05
1,120000,3.129518511292074e-05
2,1,0.24344261048140522
2,6000,0.0003419183699778444
2,12000,0.00032421939824780127
2,18000,0.0002601002082829632
2,24000,0.00022599683985121698
2,30000,0.00015013867636614345
2,36000,9.838292167995803e-05
2,42000,8.122810960803599e-05
2,48000,4.809060993379691e-05
2,54000,3.8783386680538674e-05
2,60000,4.707453634443556e-05
2,66000,4.371892143535898e-05
2,72000,3.5336906966709094e-05
2,78000,3.4348609062403516e-05
2,84000,3.646002789374006e-05
2,90000,3.578044354991672e-05
2,96000,3.216921224932904e-05
2,102000,3.426194381869503e-05
2,108000,3.125133022884704e-05
2,114000,3.712025451869523e-05
2,120000,3.15190601156471e-05
3,1,0.216248620552121
3,6000,0.0003389090094254567
3,12000,0.0003124977479820096
3,18000,0.0002447736624762368
3,24000,0.00022668965555165224
3,30000,0.0002163064416732466
3,36000,0.0001043883828794828
3,42000,5.775965992383915e-05
3,48000,4.430691762176829e-05
3,54000,4.421960111185021e-05
3,60000,3.812785062224268e-05
3,66000,3.75919924707085e-05
3,72000,3.518257030899179e-05
3,78000,3.9960838168751e-05
3,84000,3.406248830092187e-05
3,90000,3.366990840236749e-05
3,96000,3.9385557404404985e-05
3,102000,3.160801062918672e-05
3,108000,3.108449421411215e-05
3,114000,3.169102416260619e-05
3,120000,3.073938286806465e-05
4,1,0.3134813658419787
4,6000,0.0003439743171997139
4,12000,0.0003326869773481281
4,18000,0.00029743174841406934
4,24000,0.00017295668681896082
4,30000,0.00011025588361803507
4,36000,8.708822668195609e-05
4,42000,4.91067861951453e-05
4,48000,3.961146885226984e-05
4,54000,3.912161241706382e-05
4,60000,4.273088629857612e-05
4,66000,3.590805360291285e-05
4,72000,3.5027317689375175e-05
4,78000,4.600861987234602e-05
4,84000,3.392197426596827e-05
4,90000,3.187999658361441e-05
4,96000,3.170843542390879e-05
4,102000,3.15907065976467e-05
4,108000,3.097077442001341e-05
4,114000,3.112696549236516e-05
4,120000,3.17154959203303e-05
5,1,0.280517338649415
5,6000,0.00035051070779393225
5,12000,0.00034199384485308096
5,18000,0.00032284235744384546
5,24000,0.00022291986818917314
5,30000,0.00010698509460966455
5,36000,4.527553914080136e-05
5,42000,4.1015093838913615e-05
5,48000,3.963607250581276e-05
5,54000,4.0038014220284765e-05
5,60000,4.092236872861364e-05
5,66000,3.708188680218046e-05
5,72000,3.927568703077147e-05
5,78000,3.473393686422176e-05
5,84000,3.407935881432206e-05
5,90000,3.92212993342396e-05
5,96000,3.2778283942251835e-05
5,102000,3.15993385973474e-05
5,108000,3.1547370095396496e-05
5,114000,3.3509269970777396e-05
5,120000,3.112977544977057e-05
6,1,0.37559857617321163
6,6000,0.0003458203096303805
6,12000,0.0003364542058378356
6,18000,0.00028462843574438744
6,24000,0.0002476285685498137
6,30000,0.00020639132023019693
6,36000,0.00018451859331976913
6,42000,0.00017999880074974373
6,48000,4.9108942781412487e-05
6,54000,4.082674290607545e-05
6,60000,4.3368310548733724e-05
6,66000,6.191386827380332e-05
6,72000,3.859816906563352e-05
6,78000,3.907954835782431e-05
6,84000,3.7451860663690366e-05
6,90000,3.87645557864628e-05
6,96000,3.531304207021651e-05
