step,loss
1,0.4419134118476874
20000,0.0005805896970284306
40000,0.0005698867095994576
60000,0.0005835566079927357
80000,0.0005555522256567674
100000,0.0005520795011311274
120000,0.0005491956361178354
140000,0.0005497634266983356
160000,0.0005432477121151332
180000,0.0005399429552832655
200000,0.0005361813623567626
220000,0.0005321371400210928
240000,0.0005272971591968843
260000,0.0005222508086506789
280000,0.0005175812046649715
300000,0.0005118894957390164
320000,0.0005067538785116581
340000,0.0005015904769911875
360000,0.0004965468126894778
380000,0.0004912207704161911
400000,0.00048587514022898265
