molecule,mean_curve_mape_percent,mean_curve_max_percent_difference,mean_curve_energy_at_max_error_eV,across_seed_mean_of_max_percent_difference,across_seed_std_of_max_percent_difference,article_table2_max_percent,delta_vs_article_pp,close_to_article
2-Methylpropanal,2.470964245871609,4.678411848734316,44.5,4.743518605811689,0.9592520726684127,4.0,0.6784118487343163,True
Propanone,7.699682334513346,12.985566729684326,35.5,13.210842872464857,1.362251767265277,14.0,-1.0144332703156742,True
Hexan-3-one,4.409725997130867,6.607877706656373,30.25,6.6493975303198924,1.215617562583105,7.0,-0.39212229334362725,True
"3,3-Dimethylbutan-2-one",2.3281862175126684,4.444319275939455,60.25,4.640590169949295,1.0981732155524841,5.0,-0.5556807240605446,True
Methanol,4.849372319581468,12.714953605233228,25.0,16.15080165638852,6.14942396249213,12.0,0.7149536052332284,True
