seed,molecule,mape_percent,max_percent_difference,rmse_a0_2,mae_a0_2,max_abs_error_a0_2
1,Ethanal,45.36880741824543,57.593818539106834,9.471690457966025,9.414270091574258,11.112658885483123
1,Propanal,7.880339773067047,10.35635018768097,2.3164423088115296,2.3047620454431983,2.767644551427349
1,3-Methylbutan-2-one,9.26260394833876,13.321513440933993,4.70387282674833,4.651603578737595,5.48060714098569
1,Molecular Nitrogen,202.35484577264552,1903.2464705350462,1.2814474803547602,1.0266076215226103,4.259120069444729
1,Ethanol,30.59365040374043,38.738362736014864,7.267437608853802,7.079008114064006,8.96404816862978
2,Ethanal,36.18709687657903,52.51134753710721,7.502541253840183,7.488517379429522,8.235164631281824
2,Propanal,7.888562431770455,10.602037286642148,2.318502449146883,2.306564949988513,2.785497450755109
2,3-Methylbutan-2-one,9.265468542674919,13.1846220023753,4.7066623773542045,4.654058759502585,5.425227407551873
2,Molecular Nitrogen,497.89574291712904,2758.1539691591283,3.1779632366653674,2.9262414281916596,6.172247844159587
2,Ethanol,9.8628445480394,19.695365877225033,2.5628289136462503,2.2513921306425955,4.557503104231472
3,Ethanal,21.969141992584202,32.200534182734344,5.171735924376049,4.85587999652624,7.743548172431936
3,Propanal,7.878969413809055,10.971140340444672,2.316227250491304,2.3041442998459827,2.782780589065929
3,3-Methylbutan-2-one,9.25653185844388,12.986648285797834,4.702928078569304,4.65028976379731,5.423103762152209
3,Molecular Nitrogen,243.02019431223368,1603.9538375195307,1.5040515518465682,1.2034923614210056,3.5893574928957315
3,Ethanol,55.758311416017904,71.49856544604506,13.103400763226386,12.793585782785787,16.68049593865221
4,Ethanal,16.901603341441877,20.45700209580535,3.719594714277769,3.6327872092359037,4.336471570705605
4,Propanal,7.877997024494514,10.79577892417287,2.3161157660789926,2.3039523745901027,2.7770609049600594
4,3-Methylbutan-2-one,9.257943466823026,13.161515700357432,4.70312479513342,4.650278763377037,5.43244356525765
4,Molecular Nitrogen,238.45988067716561,709.2714289442449,1.764087497846093,1.6983082039547466,2.060271583720552
4,Ethanol,66.79348553088556,80.08334522695124,15.379807260244236,15.267748580300815,17.459629620497353
5,Ethanal,13.469232444895967,44.86577535282059,2.922347168575935,2.50718908513864,5.373090969225638
5,Propanal,7.879253721500543,11.102392539300569,2.316345066233749,2.3040677974231243,2.8043500055096686
5,3-Methylbutan-2-one,9.25520693915851,12.992072981716424,4.702357240747525,4.649924756372319,5.452232441016022
5,Molecular Nitrogen,965.6846094895608,3299.515410925519,6.1823552933756165,6.155834982912003,7.383716467454906
5,Ethanol,10.846019725463156,20.96895406445323,2.9760558226124414,2.5034917335048488,4.979900173588632
6,Ethanal,44.51198868146468,57.32037337369519,9.472120256491573,9.336949980355467,11.728739802948224
6,Propanal,8.08503869474504,11.493209767973479,2.362323545875367,2.353690205434159,2.7786594356715106
6,3-Methylbutan-2-one,9.38850043298085,13.947234368546507,4.748829972494767,4.703391028122357,5.480849123894309
6,Molecular Nitrogen,179.61607970398796,222.41625762840735,1.50393469387093,1.3858736850335394,1.9195353510638542
6,Ethanol,25.727746878419403,34.79743598526089,6.1379370162581965,5.951890658088271,8.05211863088612
7,Ethanal,30.52266980204248,41.10942572905258,6.360578753505656,6.342975777004101,7.164901734842365
