seed,molecule,mape_percent,max_percent_difference,energy_at_max_error_eV
1,Ethanal,11.580872419474325,13.717293789827622,98.5
1,Propanal,3.655337940854719,6.916550707742716,85.0
1,3-Methylbutan-2-one,8.814094798743362,12.986847046969494,25.0
1,Molecular Nitrogen,33.24502578954482,57.54392544451139,82.75
1,Ethanol,12.512492694488483,25.35552769778046,100.0
2,Ethanal,11.89198158265304,13.717172224791108,95.5
2,Propanal,3.6763454660341552,6.779424619080321,85.75
2,3-Methylbutan-2-one,8.77590241821202,12.937338617327374,25.0
2,Molecular Nitrogen,38.869779290543654,61.026406882183934,83.5
2,Ethanol,12.590133354004761,25.580970101528273,100.0
3,Ethanal,11.98849488796551,13.36892269915915,63.25
3,Propanal,3.7060444621148028,6.528748155192468,85.0
3,3-Methylbutan-2-one,8.701177754068894,12.746539158298026,25.0
3,Molecular Nitrogen,37.85584595070632,74.99770445411279,25.0
3,Ethanol,12.677534946093292,25.844861450804885,100.0
4,Ethanal,11.343767888933268,13.273041010844128,99.25
4,Propanal,3.589242127781204,6.778500261893354,85.0
4,3-Methylbutan-2-one,8.826133868766545,12.994535183484675,25.0
4,Molecular Nitrogen,31.9120324612241,69.34056910994248,25.0
4,Ethanol,12.51428438251976,25.27573225108956,100.0
5,Ethanal,12.511975938813231,14.136739991993661,59.5
5,Propanal,3.8818853356274867,6.36539090118553,85.0
5,3-Methylbutan-2-one,8.715652981630424,12.716070877824876,25.0
5,Molecular Nitrogen,42.410316558532145,60.10235126355419,45.25
5,Ethanol,12.694211754042202,26.088355748526766,100.0
6,Ethanal,11.88277175285027,13.579005949654825,95.5
6,Propanal,3.684354599759396,6.788752197998941,85.0
6,3-Methylbutan-2-one,8.773977246923897,12.89198612819935,25.0
6,Molecular Nitrogen,39.52534117325002,65.80391294116782,25.0
6,Ethanol,12.578653859683005,25.608376592947373,100.0
7,Ethanal,11.589250956255029,13.60433632342333,95.5
7,Propanal,3.5914272321761036,6.860059407257037,85.0
7,3-Methylbutan-2-one,8.636754350559213,12.746068763915591,25.0
7,Molecular Nitrogen,35.981347040281314,121.71861345074142,25.0
7,Ethanol,12.583077753553145,25.583491830132825,100.0
8,Ethanal,11.731522724767055,13.577122092268354,97.75
8,Propanal,3.705420869854514,6.9690643299386235,85.0
8,3-Methylbutan-2-one,8.84478254431362,13.005276388599304,25.0
8,Molecular Nitrogen,42.88254208826011,154.93415389673024,25.0
8,Ethanol,12.511053146034072,25.311343074297906,100.0
9,Ethanal,11.530859937028104,12.902698467188586,79.75
9,Propanal,3.540073365488728,6.6342989734702,85.0
9,3-Methylbutan-2-one,8.836725587082437,12.977532634362184,25.0
9,Molecular Nitrogen,33.61219126283409,47.55016537115697,85.75
9,Ethanol,12.730702241736543,25.960409661423476,100.0
10,Ethanal,11.58669475879789,13.669329921197617,99.25
10,Propanal,3.7013452938400344,6.9492979392539125,85.0
10,3-Methylbutan-2-one,8.79736090736057,12.926613524423033,25.0
10,Molecular Nitrogen,34.466043242514345,75.52209793928847,25.0
10,Ethanol,12.465516243171493,25.24812533783666,100.0
11,Ethanal,11.897327638390514,13.303901688341991,100.0
11,Propanal,3.6978851453935038,6.720272698277791,85.0
11,3-Methylbutan-2-one,8.768041286722942,12.878676721745402,25.0
11,Molecular Nitrogen,36.33364560161611,59.03339519922499,25.0
11,Ethanol,12.598844345774786,25.702614432349247,100.0
12,Ethanal,12.054164601640016,13.45232917742662,61.0
12,Propanal,3.7860512917675178,6.6722071061551365,85.0
12,3-Methylbutan-2-one,8.755209555326552,12.820816523773576,25.0
12,Molecular Nitrogen,42.35582511341407,60.134751111409145,40.0
12,Ethanol,12.561800863064711,25.584305585712823,100.0
13,Ethanal,11.909894904838293,13.18776309481946,64.0
13,Propanal,3.6848317576389786,6.523673928633496,85.0
13,3-Methylbutan-2-one,8.783867068647142,12.841339304016836,25.0
13,Molecular Nitrogen,34.70173991575274,62.463215246425875,83.5
13,Ethanol,12.672367371047024,25.759133173972774,100.0
14,Ethanal,11.764179617688104,13.881332196042997,95.5
14,Propanal,3.7403593614965893,7.03147171233389,85.0
14,3-Methylbutan-2-one,8.817152993635704,13.016225501837589,25.0
