seed,epoch,loss
1,1,0.35940026190740954
1,6000,0.0005299582998153201
1,12000,0.0004214530976145264
1,18000,0.00041292267392240494
1,24000,0.0004069758549093344
1,30000,0.00038609957282693133
1,36000,0.0003848743034479403
1,42000,0.0003827893336865996
1,48000,0.0003845855677762367
1,54000,0.00038224830817051094
1,60000,0.0003820192582329775
1,66000,0.0003824968945565321
1,72000,0.00038109016433281287
1,78000,0.0003806851688104715
1,84000,0.0003805400324316617
1,90000,0.00038041269105742597
1,96000,0.0003802362679895568
1,102000,0.00038008878709200247
1,108000,0.00038070813972482855
1,114000,0.0003810390740378476
1,120000,0.00037994927565835257
2,1,0.23175353112831962
2,6000,0.0005454290305348684
2,12000,0.0004150811180882817
2,18000,0.0003921188514622846
2,24000,0.000384040172322375
2,30000,0.0003823387561273561
2,36000,0.00038168360793436546
2,42000,0.00038132944505611937
2,48000,0.00038107892130060484
2,54000,0.000381111398868355
2,60000,0.00038070539581601214
2,66000,0.00038053806678260124
2,72000,0.0003812028630730739
2,78000,0.00038078796719048677
2,84000,0.0003810431422721702
2,90000,0.00038016946266977724
2,96000,0.00038075951078596804
2,102000,0.0003804587396400217
2,108000,0.00038010750195745566
2,114000,0.00037994999820009043
2,120000,0.0003802801782718394
3,1,0.37752098796496303
3,6000,0.0005469045388609389
3,12000,0.000397831457227306
3,18000,0.00038418953264715355
3,24000,0.0003826177504533636
3,30000,0.0003821219597705734
3,36000,0.0003856471673388824
3,42000,0.0003818063043464522
3,48000,0.0003811102332473945
3,54000,0.00038086980743380427
3,60000,0.0003806919495795348
3,66000,0.00038055267981471525
3,72000,0.00038934311785373963
3,78000,0.00038014115767860007
3,84000,0.00038009206609026754
3,90000,0.0003801488983346286
3,96000,0.00038006883348171914
3,102000,0.00037997460556405993
3,108000,0.0003802082743914637
3,114000,0.0003799254421970964
3,120000,0.000380012577592383
4,1,0.233215694241622
4,6000,0.0005460090200150663
4,12000,0.00041235493561191664
4,18000,0.0003935682614462639
4,24000,0.00039223654265790366
