molecule,mean_curve_mape_percent,mean_curve_max_percent_difference,mean_curve_energy_at_max_error_eV,across_seed_mean_of_max_percent_difference,across_seed_std_of_max_percent_difference,article_table2_max_percent,delta_vs_article_pp,close_to_article
Ethanal,14.121369801151237,15.980858125354514,49.75,16.04870290425091,4.197156617777238,13.0,2.980858125354514,True
Propanal,4.443506648890215,6.830303283740238,85.0,6.845603697668518,1.4004705600132894,6.0,0.8303032837402382,True
3-Methylbutan-2-one,8.734295707604796,12.279094062557325,25.0,12.279094062557323,0.3320211630532272,13.0,-0.7209059374426747,True
Molecular Nitrogen,10.891742841977607,23.360434395469696,99.25,99.37748211504288,67.4621018707387,30.0,-6.639565604530304,True
Ethanol,13.10771929997817,27.440533372765962,100.0,27.44459436676875,3.413708690657411,26.0,1.4405333727659624,True
