molecule,mean_curve_mape_percent,mean_curve_max_percent_difference,mean_curve_energy_at_max_error_eV,across_seed_mean_of_max_percent_difference,across_seed_std_of_max_percent_difference,article_table2_max_percent,delta_vs_article_pp,close_to_article
2-Methylpropanal,5.029927121260485,7.685962751943837,44.5,7.701173791483623,1.182993617219945,5.0,2.685962751943837,True
Propanone,14.506468321777078,20.333573260368222,34.75,20.409037028680117,3.6106639660186306,16.0,4.333573260368222,True
Hexan-3-one,3.7468121273188513,6.175384085161308,30.25,6.1753840851613075,0.4016224801567365,7.0,-0.8246159148386916,True
"3,3-Dimethylbutan-2-one",4.854413956536005,6.96979306076879,25.0,7.000032814531221,1.3498943356855542,6.0,0.9697930607687901,True
Methanol,6.315640750521155,11.25485214368241,100.0,13.168929889014388,1.9649130525968321,9.0,2.2548521436824096,True
