molecule,mean_curve_mape_percent,mean_curve_max_percent_difference,mean_curve_energy_at_max_error_eV,across_seed_mean_of_max_percent_difference,across_seed_std_of_max_percent_difference,article_table2_max_percent,delta_vs_article_pp,close_to_article
Ethanal,11.689503838701706,13.221903456374735,79.75,15.212329119873079,3.3769912830955606,13.0,0.22190345637473463,True
Propanal,3.869144538697607,6.975516324387601,85.0,7.831867902583577,1.1214339071137251,6.0,0.975516324387601,True
3-Methylbutan-2-one,8.770287141446882,12.948044385235203,25.0,12.948044385235201,0.9232196626234649,13.0,-0.05195561476479682,True
Molecular Nitrogen,616.4071491435238,1163.1372679934727,25.0,1185.4146076837446,1575.5944618027609,30.0,1133.1372679934727,False
Ethanol,12.590724437882315,25.536627704934574,100.0,25.53961191505549,3.3468407071230106,26.0,-0.463372295065426,True
