seed,molecule,mape_percent,max_percent_difference,energy_at_max_error_eV
1,2-Methylpropanal,5.19074241504037,7.084052302432428,44.5
1,Propanone,13.609987548228865,19.273372940982927,35.5
1,Hexan-3-one,3.8841838490717198,6.155618181493621,30.25
1,"3,3-Dimethylbutan-2-one",5.640407103397929,7.6665247930797005,60.25
1,Methanol,6.474798472519767,11.090628823659138,85.0
2,2-Methylpropanal,4.983848932083966,6.793975213473513,44.5
2,Propanone,13.924248454253563,19.474661029155772,35.5
2,Hexan-3-one,4.078056207748167,6.307819981923879,30.25
2,"3,3-Dimethylbutan-2-one",5.585043710220739,7.751433545737169,60.25
2,Methanol,7.0399402948851195,12.149683749859966,86.5
3,2-Methylpropanal,4.929138885289632,6.844554683642191,45.25
3,Propanone,13.770186447500008,19.095082863113845,35.5
3,Hexan-3-one,3.9029414022699305,6.127821709984441,30.25
3,"3,3-Dimethylbutan-2-one",5.268167079395028,7.405760118423464,60.25
3,Methanol,6.5560299605174395,11.06687523154136,83.5
4,2-Methylpropanal,4.869480849408853,6.982011657738704,44.5
4,Propanone,13.834225158230177,19.764428862587696,35.5
4,Hexan-3-one,4.0567529140267045,6.238953475013108,30.25
4,"3,3-Dimethylbutan-2-one",5.262954082165546,7.318034147206781,60.25
4,Methanol,6.427604911215544,10.854309580414338,84.25
5,2-Methylpropanal,4.829121197175755,6.67005389401482,44.5
5,Propanone,13.678262707795893,18.971084960470847,35.5
5,Hexan-3-one,4.014411049534427,6.227337144313877,30.25
5,"3,3-Dimethylbutan-2-one",5.162498965323932,7.235771499288483,60.25
5,Methanol,6.294720211164504,10.529372026034535,84.25
6,2-Methylpropanal,5.040806534481594,6.953577725114887,44.5
6,Propanone,13.671691878058878,18.989267025246964,35.5
6,Hexan-3-one,3.962747863524282,6.161759768685314,30.25
6,"3,3-Dimethylbutan-2-one",5.356883055361478,7.553158271887277,60.25
6,Methanol,6.8695985342979435,11.68650210030522,84.25
7,2-Methylpropanal,5.0908736390450935,6.9903217499686034,44.5
7,Propanone,14.02412287655105,19.41899668466566,35.5
7,Hexan-3-one,3.89222709351031,6.105871922724659,30.25
7,"3,3-Dimethylbutan-2-one",5.618642620898113,7.777029242581097,60.25
7,Methanol,6.7059077010679955,11.43682558249828,85.0
8,2-Methylpropanal,4.717761284428216,6.79678361267689,44.5
8,Propanone,12.996078091684607,18.99899175389109,34.75
8,Hexan-3-one,4.214390422766131,6.4832064162734975,30.25
8,"3,3-Dimethylbutan-2-one",5.042851377183731,7.092434408623317,25.0
8,Methanol,6.432857380124412,10.954663846311822,85.0
9,2-Methylpropanal,5.014905198617959,6.825721229936062,44.5
9,Propanone,13.584295796786563,19.046937732921226,35.5
9,Hexan-3-one,4.019083692201079,6.230168435619916,30.25
9,"3,3-Dimethylbutan-2-one",5.191600128163313,7.331258324507045,60.25
9,Methanol,6.815433249839546,11.600497700506608,82.0
10,2-Methylpropanal,4.95733492969575,7.112735202986399,44.5
10,Propanone,13.997033060060044,19.78593674385677,35.5
10,Hexan-3-one,3.980181843567465,6.171594846246135,30.25
10,"3,3-Dimethylbutan-2-one",5.316384305533715,7.40325616720479,60.25
10,Methanol,6.501474631544834,11.038649680060212,84.25
11,2-Methylpropanal,4.622055604901945,6.673907655517705,44.5
11,Propanone,13.478572314606867,19.29140918454389,35.5
11,Hexan-3-one,4.166758853650348,6.505139639700615,30.25
11,"3,3-Dimethylbutan-2-one",5.296607598060409,7.317896805932373,60.25
