step,loss
1,0.5302402346677367
20000,0.00017916169381340338
40000,0.00010934174797727098
60000,7.581230731423606e-05
80000,7.337183295093559e-05
100000,7.301281338467519e-05
120000,7.290169396807793e-05
140000,7.282821440725519e-05
160000,7.276672005699482e-05
180000,7.275975091107784e-05
200000,7.265287290995039e-05
220000,7.259194139820319e-05
240000,7.331213030157314e-05
260000,7.247280058075416e-05
280000,7.241093870729471e-05
300000,0.00010220179253605044
320000,7.228953997049098e-05
340000,7.222316410574398e-05
360000,7.21605604957731e-05
380000,7.20904847354418e-05
400000,7.202343480116962e-05
