step,loss
1,0.6174979054299551
20000,0.00014220752889060087
40000,0.0001236375857299342
60000,0.000111904356163877
80000,0.00010345033640085113
100000,9.743141272088555e-05
120000,9.306865513329501e-05
140000,8.993019729657033e-05
160000,8.758062792584616e-05
180000,8.574832948778121e-05
200000,8.424525518868975e-05
220000,8.292625283367649e-05
240000,8.17126903538425e-05
260000,8.056557718449482e-05
280000,7.94411290078404e-05
300000,7.835703529752754e-05
320000,7.729291787992475e-05
340000,7.629541804635925e-05
360000,7.535148604044698e-05
380000,7.449382822170577e-05
400000,7.371291568183524e-05
