molecule,mean_curve_mape_percent,mean_curve_max_percent_difference,mean_curve_energy_at_max_error_eV,across_seed_mean_of_max_percent_difference,across_seed_std_of_max_percent_difference,article_table2_max_percent,delta_vs_article_pp,close_to_article
Ethanal,5.856072988416586,7.57119108776372,49.75,23.906873911579332,12.49557019732522,14.0,-6.42880891223628,True
Propanal,2.020789891401183,3.7523560485870244,85.0,11.710231549672377,4.42274185896216,8.0,-4.247643951412975,True
3-Methylbutan-2-one,7.219872135764843,11.335656639620892,25.0,11.33565663962088,1.8089550974113198,12.0,-0.6643433603791085,True
Molecular Nitrogen,1647.1510027121747,3000.4237513886505,25.0,3029.699684311146,2307.294005239489,1940.0,1060.4237513886505,False
Ethanol,12.931535807994592,25.882749129714583,100.0,26.595592184889057,10.62432939773981,23.0,2.8827491297145826,True
