step,loss
1,0.5149561098886865
20000,0.00013546063438530092
40000,0.00015999532010412112
60000,0.00010693911473592679
80000,9.80078533045054e-05
100000,9.720309473872733e-05
120000,8.725492765353347e-05
140000,0.00017261262777653992
160000,8.300649916501143e-05
180000,8.192168915856826e-05
200000,8.118782954065777e-05
220000,8.045420677937213e-05
240000,7.990033920726813e-05
260000,7.94013637313167e-05
280000,7.893041309313428e-05
300000,7.8489115042571e-05
320000,7.806159277460932e-05
340000,7.76467949411548e-05
360000,7.72349018762843e-05
380000,7.683398553408541e-05
400000,7.644319890641837e-05
