step,loss
1,0.4976238581107605
20000,0.00027637898575802304
40000,0.0002630697462718404
60000,0.0002542749783381204
80000,0.0002459500776556227
100000,0.0002377356233647462
120000,0.00023044822772920622
140000,0.00022464535349866262
160000,0.00022006265048475377
180000,0.00021960546579870963
200000,0.00021441192076204635
220000,0.0002112140610494257
240000,0.00020932712261541767
260000,0.00020780163910987884
280000,0.00020652566594238592
300000,0.00020548177519953605
320000,0.00020461413033496219
340000,0.00024101868449324587
360000,0.00020328927679209036
380000,0.00020278006605686666
400000,0.00020235179655901997
